Title,URL
Alaska Climate Integrated Modeling (ACLIM data) Live Access Server (LAS): NOAA/PMEL,https://data.pmel.noaa.gov/aclim/las/UI.html
Alaska Ocean Observing System (AOOS) Data Portal: IOOS,http://portal.aoos.org/
Animal Telemetry Network (ATN) Data Portal: IOOS,https://portal.atn.ioos.us/
Alaska Ocean Observing System (AOOS) Data Explorer,https://portal.aoos.org
Arctic Heat Ocean Science Experiment: NOAA/PMEL ,https://data.pmel.noaa.gov/alamo/erddap/index.html
Arctic Data Center (NSF),https://arcticdata.io
Arctic Sea-Ice Forecast: NOAA/PSL,https://psl.noaa.gov/forecasts/seaice/
ARGO Floats Data Visualizations: UCSD,https://argo.ucsd.edu/data/data-visualizations/
Atlantic Tradewind Oceanâ€“Atmosphere Mesoscale Interaction Campaign (ATOMIC).,https://psl.noaa.gov/atomic/
Atmospheric Hovmoller Diagram Web Portal: NOAA/PSL,https://psl.noaa.gov/map/time_plot/
Australian Ocean Data Network Portal,https://portal.aodn.org.au
Biological and Chemical Oceanography Data Portal: BCO-DMO,https://www.bco-dmo.org
British Oceanographic Data Center,https://www.bodc.ac.uk
California Current Marine Heatwave Tracker - Blobtracker: NOAA Integrated Ecosystem Assessment,https://www.integratedecosystemassessment.noaa.gov/regions/california-current/california-current-marine-heatwave-tracker-blobtracker
California Cooperative Oceanic Fisheries Investigation: ,https://calcofi.org/
California Current Marine Heatwave Tracker: NOAA/PMEL,https://oceanview.pfeg.noaa.gov/products/mhw/latest
Climate Change Web Portal: NOAA/PSL,https://psl.noaa.gov/ipcc/
Climate Data Library and Plotter: NOAA/IRI,http://iridl.ldeo.columbia.edu/
Climate Reanalyzer: Climate Change Institute,https://climatereanalyzer.org/
Climate Indices: Web Portal (data since 1856),https://psl.noaa.gov/gcos_wgsp/Timeseries/Plot/
Coastal Inundation Dashboard: NOAA Center for Operational Oceanographic Products and Services.,https://tidesandcurrents.noaa.gov/inundationdb/
Climate Composite Analysis Web Portal: NOAA/PSL,https://psl.noaa.gov/data/composites/
Copernicus Marine Service,https://marine.copernicus.eu
Correlations: Monthly/Seasonal Maps and Vertical Cross-Sections: NOAA/PSL,https://psl.noaa.gov/data/correlation/
Distribution Mapping and Analysis Portal : NOAA Fisheries,https://apps-st.fisheries.noaa.gov/dismap/index.html
El Ni&ntilde;o Theme Page: NOAA/PMEL,https://www.pmel.noaa.gov/elnino/
ENSO Events Climate Model Comparison From FACTS tools: NOAA/PSL,https://psl.noaa.gov/repository/model/compare?frequency=Monthly&event_group=ENSO+Events
"ENSO Status, Research, and Interactive Webtools: NOAA/PSL",https://psl.noaa.gov/enso/
ENSO Dashboard: NOAA/PSL,https://psl.noaa.gov/enso/dashboard.html
ENSO Forecasts: NOAA/IRI,https://iri.columbia.edu/our-expertise/climate/forecasts/enso/current/
Environmental DNA (eDNA) : NOAA Exploration,https://oceanexplorer.noaa.gov/technology/edna/edna.html
ERDDAP: Easier Access to Scientific Data,https://www.ncei.noaa.gov/erddap/information.html
Gridded Climate Data Animator: NOAA/PSL,https://psl.noaa.gov/data/animation/
Facility for Climate Assessments (FACTS): NOAA/PSL,https://psl.noaa.gov/repository/facts/
Fisheries Economics of the United States: NOAA Fisheries,https://www.fisheries.noaa.gov/national/sustainable-fisheries/fisheries-economics-united-states
FishGlob Database,https://github.com/AquaAuma/FishGlob_data
GFDL's Data portal: NOAA/GFDL,https://data1.gfdl.noaa.gov
GFDL's Ocean Visualizations Collection: NOAA/GFDL,https://www.gfdl.noaa.gov/visualization/visualizations-oceans/
Glider Distributed Archive Center (DAC) : IOOS,https://gliders.ioos.us/data/
Global Ocean Data Assimilation System (GODAS) Monitoring Products: NOAA/CPC,https://www.cpc.ncep.noaa.gov/products/GODAS/
Gridded Climate Datasets: NOAA/PSL,https://psl.noaa.gov/data/gridded/
High Frequency (HF) Radar Distributed Archive Center (DAC): IOOS ,https://hfradar.ioos.us/
High Frequency (HF) Radar Distributed Archive Center (DAC) THREDDS: UCSD Scripps Institution of Oceanography,http://hfrnet.ucsd.edu/thredds/catalog.html
Hurricane Research: NOAA/AOML,https://www.aoml.noaa.gov/hurricane-research-division/
Indonesian National Oceanographic Data Center (NODC),https://nodc.id/oceanography
Integrated Ocean Observing System (IOOS) Data Catalog,https://ioos.us
Integrated Ocean Observing System (IOOS) Caribbean (CariCOOS) Data Portal,http://www.caricoos.org/drupal/
Integrated Ocean Observing System (IOOS) Central and Northern California (CeNCOOS) Data Portal,http://data.cencoos.org/
Integrated Ocean Observing System (IOOS) Gulf of Mexico (GCOOS) Data Portal,http://data.gcoos.org/
Integrated Ocean Observing System (IOOS) Great Lakes (GLOS) Data Portal,http://portal.glos.us/
Integrated Ocean Observing System (IOOS) Mid-Atlantic (MARACOOS) Data Portal,https://maracoos.org/
Integrated Ocean Observing System (IOOS) Pacific Northwest (NANOOS) Visualization System (NVS),http://nvs.nanoos.org/
Integrated Ocean Observing System (IOOS) Northeast Atlantic (NERACOOS) Data Portal,http://neracoos.org
Integrated Ocean Observing System (IOOS) Pacific Islands (PacIOOS) Data Portal,http://oos.soest.hawaii.edu/pacioos/voyager/
Integrated Ocean Observing System (IOOS) Southern California (SCCOOS) Data Portal,https://sccoos.org/overview/
Integrated Ocean Observing System (IOOS) Southeast Atlantic (SECOORA) Data Portal,http://portal.secoora.org/
Integrated Ocean Observing System (IOOS) Code Lab,https://ioos.github.io/ioos_code_lab/content/intro.html
Integrated Ocean Observing System (IOOS) GitHub,https://github.com/ioos
Integrated Ocean Observing System (IOOS) Metadata Compliance Checker,https://ioos.us/compliance-checker
International Comprehensive Ocean-Atmosphere Data Set  (ICOADS): NOAA/NCEI,https://icoads.noaa.gov/
Japan Oceanographic Data Center,https://www.jodc.go.jp/jodcweb/ 
Large Marine Ecosystems of the World,https://archive.iwlearn.net/lme.edc.uri.edu/lme.edc.uri.edu/lme.edc.uri.edu/index.html
Live Action Server (LAS) Code Repository: NOAA/PMEL,https://github.com/NOAA-PMEL/las9
Marine Biodiversity Observation Network (MBON) Portal: IOOS,https://mbon.ioos.us/
Current Climate Condition Web Portal: NOAA/PSL,https://psl.noaa.gov/map/
Marine Heatwaves: NOAA/PSL,https://psl.noaa.gov/marine-heatwaves/
MJO Research: NOAA/PSL,https://psl.noaa.gov/mjo/
Monterey Bay Aquarium Research Insitute (MBARI),https://www.mbari.org/our-work/data-repositories/
NOAA One Stop Data Search Platform: NOAA,https://data.noaa.gov/onestop/
Ocean Adapt Marine Species Distribution: Rutgers University,https://oceanadapt.rutgers.edu/
Ocean Biodiversity Information System (OBIS),https://obis.org
Ocean Networks Canada,https://www.oceannetworks.ca
Ocean Observatories Initiative,https://ooinet.oceanobservatories.org/
Ocean Process Analysis Laboratory: UNH,https://eos.unh.edu/ocean-process-analysis-laboratory/
Ocean Data Guide: NCAR/UCAR,https://climatedataguide.ucar.edu/climate-data/ocean
Oceancolor Web: NASA,https://oceancolor.gsfc.nasa.gov
Ocean Learning: Copernicus,https://marine.copernicus.eu/access-data/ocean-visualisation-tools
Ocean Reanalysis Intercomparison Tools (WRIT): Monthly Mapping and Composites: NOAA/PSL,https://psl.noaa.gov/data/oceanwrit/map/
Ocean Reanalysis Intercomparison Tools (WRIT): Monthly Timeseries Plotting and Comparisons: NOAA/PSL,https://psl.noaa.gov/data/oceanwrit/timeseries/
Ocean Reanalysis Intercomparison Tools (WRIT): Monthly Correlations: NOAA/PSL,https://psl.noaa.gov/data/oceanwrit/corr/
Ocean Reanalysis Intercomparison Tools (WRIT): Ocean Profiles: NOAA/PSL,https://psl.noaa.gov/data/oceanwrit/profile/
OceanSITES Flux Data Discovery: NOAA/PMEL ,https://www.pmel.noaa.gov/tao/drupal/disdel/
Pacific Decadal Oscillation (PDO): NOAA/NCEI,https://www.ncei.noaa.gov/access/monitoring/pdo/
Pacific Decadal Oscillation (PDO): NOAA/PSL,https://psl.noaa.gov/pdo/
PMEL ERDDAP Datasets: NOAA/PMEL,https://data.pmel.noaa.gov/pmel/erddap/info/index.html?page=1&itemsPerPage=1000
Research Cruise Data: NOAA/PSL,https://psl.noaa.gov/data/cruises/
Sanctuary Soundscapes: IOOS,https://sanctsound.ioos.us/
"Satellite Data Products & Services To Support Ocean, Coastal, and Fresh Water Applications: NOAA Coastwatch",https://coastwatch.noaa.gov/cwn/products.html
Science on a Sphere (SOS) Ocean Dataset Videos,https://search.usa.gov/search/docs?affiliate=science-on-a-sphere&dc=9122&query=ocean+data 
Seasonal Forecasts from the North American Multi-Model Ensemble (NMME): NOAA/CPC,https://www.cpc.ncep.noaa.gov/products/international/nmme/nmme.shtml
Shore Stations Program: UCSD Scripps Institution of Oceanography,https://shorestations.ucsd.edu/about/
South Atlantic Fishery Management Council's (SAFMC) Digital Dashboard: Marine Traffic,https://ocean.floridamarine.org/safmc_dashboard/marine-traffic.html
Spray Operations: UCSD,https://spraydata.ucsd.edu/projects/
Spray Operations Gulf stream Mean and Eddy Kinetic Energy: UCSD,https://spraydata.ucsd.edu/GulfStream/
Stock Assessment: NOAA Fisheries,https://www.fisheries.noaa.gov/science-and-data
Surface Ocean Carbon (SOCAT) Atlas: Bjerknes Climate Data Centre,https://www.socat.info/
Tides and Currents: NOAA Center for Operational Oceanographic Products and Services,https://tidesandcurrents.noaa.gov
Tide and Current Map: NOAA Tides and Currents,https://tidesandcurrents.noaa.gov/map/
TOGA-TAO Data : NOAA/PMEL,https://www.pmel.noaa.gov/tao/drupal/disdel/
Trap Count Statistics: Maine Department of Marine Resources,https://www.maine.gov/dmr/fisheries/sea-run-fisheries/programs-and-projects/trap-count-statistics
Tropical Forecasts from Model Analogs: NOAA/PSL,https://psl.noaa.gov/forecasts/seasonal/
Upwelling Indices: NOAA/PMEL,https://upwell.pfeg.noaa.gov/products/PFEL/modeled/indices/upwelling/upwelling.html
EGI-ACE webODV: Alfred Wegener Institute (AWI),https://webodv-egi-ace.cloud.ba.infn.it/login
Ocean & Atmosphere Reanalysis Information (reanalyses.org): NOAA/PSL,https://reanalyses.org
Wind Resource Maps and Data: NREL,https://www.nrel.gov/gis/wind-resource-maps.html
Ocean Monitoring Indicators: Copernicus Marine Service,https://marine.copernicus.eu/access-data/ocean-monitoring-indicators
Climate Change Indicators for Oceans: EPA,https://climatechange.chicago.gov/climate-indicators/oceans
Global Climate Indicators: WMO,https://public.wmo.int/en/resources/bulletin/Ocean_Climate_Nexus/Climate%20Indicators
Climate Change Indicators for Marine Species Distribution: EPA,https://www.epa.gov/climate-indicators/
Ocean Conditions Indicators Trends: NOAA Fisheries,https://www.fisheries.noaa.gov/west-coast/science-data/ocean-conditions-indicators-trends
A Collection of Marine Boundaries and Shapefiles: Marine Regions,https://www.marineregions.org/sources.php
Coastal Resilience Toolkits : The Nature Conservancy,https://maps.coastalresilience.org
Coastal Wiki,https://www.coastalwiki.org/wiki/Main_Page
Harmful Algal BloomS Observing System : NOAA/NCEI,https://habsos.noaa.gov
Gulf of Mexico Harmful Algal Bloom Forecast : NOAA/NOS/NCCOS,https://coastalscience.noaa.gov/science-areas/habs/hab-forecasts/gulf-of-mexico/
Coastal Ocean Monitoring and Prediction : University of South Florida,http://ocgweb.marine.usf.edu/index.html
Wind Integration National Dataset Toolkit : NREL,https://www.nrel.gov/grid/wind-toolkit.html
National Ocean Economics Program,https://www.oceaneconomics.org/index.html
Climate Science Strategy Regional Action Plans : NOAA/Fisheries,https://www.fisheries.noaa.gov/national/climate/climate-science-strategy-regional-action-plans/
OneArgo-Mat : NOAA/PMEL,https://github.com/NOAA-PMEL/OneArgo-Mat
Giovanni: NASA,https://giovanni.gsfc.nasa.gov/giovanni/
California Marine Protected Area (MPA) Dashboard : NOAA/IOOS,https://mpa-dashboard.caloos.org
LiveOcean : University of Washington,https://faculty.washington.edu/pmacc/LO/LiveOcean.html
JISAO Seasonal Coastal Ocean Prediction of the Ecosystem (J-SCOPE): University of Washington/JISAO,https://www.nanoos.org/products/j-scope/home.php
Sanctuary Watch : NOAA/IOOS,https://sanctuarywatch.ioos.us
Advanced ecosystem research for marine ecosystems: Farallon Institute for Advanced Ecosystem Research,http://www.faralloninstitute.org
NOAA Fisheries Integrated Toolbox,https://www.fisheries.noaa.gov/resource/tool-app/noaa-fisheries-integrated-toolbox
World Ocean Atlas - WOA,https://www.ncei.noaa.gov/products/world-ocean-atlas
Arctic and Antarctic Ocean Satellite Data Portal,https://polarwatch.noaa.gov/
